ticket_id,ticket_date,region,issue_type
T00074,2025-07-18,West,Delivery Delay
T00075,2025-05-17,South,Payment Problem
T00076,2026-05-15,East,Delivery Delay
T00077,2026-04-14,West,Delivery Delay
T00078,2026-03-18,North,Refund Request
T00079,2025-01-27,North,Delivery Delay
T00080,2025-12-22,West,Refund Request
T00081,2025-12-25,East,Product Issue
T00082,2026-05-25,North,Product Issue
T00083,2026-04-16,North,Delivery Delay
T00084,2025-11-08,North,Refund Request
T00085,2025-12-06,East,Out of Stock
T00086,2025-04-26,East,Product Issue
T00087,2025-02-22,North,Out of Stock
T00088,2025-11-28,South,Payment Problem
T00089,2025-03-23,South,Payment Problem
T00090,2025-01-20,West,Delivery Delay
T00091,2025-11-19,West,Product Issue
T00092,2025-11-06,West,Out of Stock
T00093,2025-03-15,East,Delivery Delay
T00094,2026-03-12,South,Out of Stock
T00095,2025-11-11,South,Product Issue
T00096,2025-10-01,South,Product Issue
T00097,2025-08-20,East,Product Issue
T00098,2025-03-25,West,Product Issue
T00099,2025-09-08,South,Payment Problem
T00100,2025-09-23,East,Out of Stock
T00101,2026-05-02,North,Payment Problem
T00102,2025-12-17,West,Payment Problem
T00103,2026-04-21,East,Refund Request
T00104,2026-06-09,North,Product Issue
T00105,2025-04-28,East,Out of Stock
T00106,2025-03-16,West,Refund Request
T00107,2026-01-02,West,Product Issue
T00108,2025-04-18,East,Delivery Delay
T00109,2026-04-24,South,Refund Request
T00110,2025-04-10,North,Payment Problem
T00111,2025-01-19,East,Payment Problem
T00112,2026-01-13,West,Product Issue
T00113,2025-04-02,East,Payment Problem
T00114,2025-06-28,South,Refund Request
T00115,2025-03-16,East,Delivery Delay
T00116,2026-05-07,South,Refund Request
T00117,2025-04-13,North,Payment Problem
T00118,2025-11-30,West,Product Issue
T00119,2025-08-31,West,Product Issue
T00120,2025-03-20,North,Refund Request
T00121,2026-04-06,North,Out of Stock
T00122,2025-01-30,North,Product Issue
T00123,2026-01-25,East,Out of Stock
T00124,2025-08-08,West,Out of Stock
T00125,2026-05-08,North,Delivery Delay
T00126,2025-01-10,East,Refund Request
T00127,2025-11-16,South,Refund Request
T00128,2025-01-21,West,Payment Problem
T00129,2025-01-06,South,Refund Request
T00130,2025-09-16,South,Out of Stock
T00131,2026-06-03,East,Payment Problem
T00132,2026-05-26,West,Product Issue
T00133,2026-06-17,North,Payment Problem
T00134,2026-04-10,North,Product Issue
T00135,2025-02-14,North,Payment Problem
T00136,2026-02-27,East,Refund Request
T00137,2025-05-24,East,Refund Request
T00138,2025-07-12,East,Delivery Delay
T00139,2025-06-27,South,Payment Problem
T00140,2026-03-23,North,Refund Request
T00141,2025-09-19,South,Refund Request
T00142,2025-03-30,North,Product Issue
T00143,2026-05-07,West,Out of Stock
T00144,2026-02-08,East,Refund Request
T00145,2026-04-26,West,Out of Stock
T00146,2026-02-10,North,Payment Problem
T00147,2025-09-28,South,Delivery Delay
T00148,2025-12-30,North,Out of Stock
T00149,2026-02-27,South,Payment Problem
T00150,2025-02-14,West,Delivery Delay
T00151,2026-01-02,West,Product Issue
T00152,2026-05-10,North,Refund Request
T00153,2025-05-29,North,Out of Stock
T00154,2025-12-16,North,Payment Problem
T00155,2025-04-25,West,Refund Request
T00156,2025-02-16,North,Product Issue
T00157,2025-04-23,North,Out of Stock
T00158,2025-11-12,South,Product Issue
T00159,2025-02-20,West,Product Issue
T00160,2026-06-12,North,Payment Problem
T00161,2026-01-25,South,Refund Request
T00162,2025-06-09,North,Payment Problem
T00163,2026-02-16,East,Payment Problem
T00164,2025-07-04,South,Product Issue
T00165,2025-08-07,East,Refund Request
T00166,2026-02-27,East,Delivery Delay
T00167,2026-02-12,South,Out of Stock
T00168,2025-04-07,South,Refund Request
T00169,2025-12-13,North,Delivery Delay
T00170,2026-06-27,North,Delivery Delay
T00171,2025-05-26,West,Out of Stock
T00172,2025-08-17,East,Refund Request
T00173,2025-12-07,West,Refund Request
T00174,2025-06-13,West,Payment Problem
T00175,2026-02-26,South,Out of Stock
T00176,2025-03-04,East,Product Issue
T00177,2025-09-03,South,Product Issue
T00178,2025-08-22,North,Out of Stock
T00179,2026-05-31,South,Refund Request
T00180,2025-08-08,East,Out of Stock
T00181,2025-12-30,West,Payment Problem
T00182,2025-02-11,East,Product Issue
T00183,2025-09-16,East,Out of Stock
T00184,2026-05-09,West,Delivery Delay
T00185,2025-03-14,South,Payment Problem
T00186,2026-02-05,East,Delivery Delay
T00187,2025-09-05,East,Refund Request
T00188,2026-04-15,West,Delivery Delay
T00189,2026-04-01,West,Out of Stock
T00190,2025-06-28,South,Delivery Delay
T00191,2026-01-14,East,Product Issue
T00192,2026-01-24,South,Product Issue
T00193,2026-02-13,South,Delivery Delay
T00194,2025-06-01,North,Refund Request
T00195,2026-05-06,East,Product Issue
T00196,2025-05-27,West,Payment Problem
T00197,2026-01-05,South,Payment Problem
T00198,2025-10-18,West,Out of Stock
T00199,2026-06-24,South,Delivery Delay
T00200,2025-11-17,North,Payment Problem
T00201,2025-12-13,North,Out of Stock
T00202,2025-07-01,West,Product Issue
T00203,2025-03-07,East,Refund Request
T00204,2025-06-14,South,Payment Problem
T00205,2025-02-20,West,Payment Problem
T00206,2025-11-17,South,Refund Request
T00207,2025-07-10,South,Product Issue
T00208,2025-03-31,South,Payment Problem
T00209,2025-09-11,East,Out of Stock
T00210,2026-05-13,East,Refund Request
T00211,2025-12-22,North,Out of Stock
T00212,2026-06-16,East,Out of Stock
T00213,2025-04-27,East,Product Issue
T00214,2026-04-04,West,Out of Stock
T00215,2025-07-02,South,Payment Problem
T00216,2026-04-23,South,Out of Stock
T00217,2026-03-22,North,Out of Stock
T00218,2025-09-03,South,Out of Stock
T00219,2025-08-13,North,Out of Stock
T00220,2025-12-31,South,Product Issue
T00221,2026-05-10,South,Delivery Delay
T00222,2026-01-22,West,Payment Problem
T00223,2026-04-27,North,Refund Request
T00224,2025-03-23,West,Refund Request
T00225,2025-12-08,West,Out of Stock
T00226,2025-05-31,North,Out of Stock
T00227,2025-11-27,East,Refund Request
T00228,2025-08-21,South,Refund Request
T00229,2025-06-19,North,Out of Stock
T00230,2026-06-10,East,Payment Problem
T00231,2026-06-10,East,Payment Problem
T00232,2025-01-08,East,Out of Stock
T00233,2025-06-15,East,Out of Stock
T00234,2025-06-01,West,Delivery Delay
T00235,2026-04-14,South,Payment Problem
T00236,2025-09-08,North,Out of Stock
T00237,2026-01-20,West,Payment Problem
T00238,2025-08-16,South,Product Issue
T00239,2025-09-24,East,Out of Stock
T00240,2026-06-06,North,Refund Request
T00241,2026-06-18,West,Delivery Delay
T00242,2025-04-07,North,Delivery Delay
T00243,2025-09-13,South,Delivery Delay
T00244,2025-03-26,North,Delivery Delay
T00245,2026-05-17,North,Product Issue
T00246,2026-06-26,East,Payment Problem
T00247,2025-07-10,South,Delivery Delay
T00248,2025-11-18,North,Product Issue
T00249,2025-06-04,West,Out of Stock
T00250,2026-06-01,North,Product Issue
T00251,2025-12-31,West,Payment Problem
T00252,2026-04-08,North,Product Issue
T00253,2025-03-30,South,Out of Stock
T00254,2025-02-13,North,Product Issue
T00255,2025-10-07,North,Delivery Delay
T00256,2025-03-11,North,Product Issue
T00257,2025-03-13,West,Out of Stock
T00258,2025-07-27,North,Payment Problem
T00259,2025-10-28,North,Out of Stock
T00260,2025-06-03,South,Payment Problem
T00261,2025-08-28,East,Out of Stock
T00262,2025-04-08,South,Refund Request
T00263,2025-05-18,South,Product Issue
T00264,2025-02-15,West,Out of Stock
T00265,2025-12-26,South,Refund Request
T00266,2026-05-30,South,Product Issue
T00267,2026-01-01,South,Refund Request
T00268,2025-11-07,East,Product Issue
T00269,2025-07-21,East,Out of Stock
T00270,2025-09-04,North,Refund Request
T00271,2025-09-30,North,Refund Request
T00272,2026-05-14,South,Product Issue
T00273,2026-05-05,East,Out of Stock
T00274,2025-10-24,West,Delivery Delay
T00275,2025-12-09,East,Payment Problem
T00276,2025-02-06,East,Delivery Delay
T00277,2025-03-05,South,Out of Stock
T00278,2026-02-13,East,Payment Problem
T00279,2025-05-30,South,Payment Problem
T00280,2025-10-05,East,Delivery Delay
T00281,2025-06-24,North,Refund Request
T00282,2026-02-01,South,Payment Problem
T00283,2025-01-13,South,Delivery Delay
T00284,2026-06-24,West,Delivery Delay
T00285,2025-04-06,East,Delivery Delay
T00286,2026-05-26,East,Refund Request
T00287,2025-03-22,East,Product Issue
T00288,2025-03-24,West,Delivery Delay
T00289,2026-06-11,North,Product Issue
T00290,2025-01-19,North,Delivery Delay
T00291,2025-02-07,East,Delivery Delay
T00292,2025-04-12,North,Refund Request
T00293,2025-04-03,South,Out of Stock
T00294,2025-10-22,West,Delivery Delay
T00295,2026-06-28,West,Delivery Delay
T00296,2026-04-22,East,Payment Problem
T00297,2025-09-02,East,Delivery Delay
T00298,2026-03-12,West,Delivery Delay
T00299,2025-04-24,East,Refund Request
T00300,2025-08-11,East,Payment Problem
T00301,2025-06-22,North,Payment Problem
T00302,2026-03-26,North,Payment Problem
T00303,2025-03-18,East,Product Issue
T00304,2025-08-14,East,Refund Request
T00305,2025-03-17,North,Product Issue
T00306,2025-03-10,East,Payment Problem
T00307,2026-03-24,South,Product Issue
T00308,2026-02-03,South,Out of Stock
T00309,2025-12-05,North,Delivery Delay
T00310,2026-01-20,West,Refund Request
T00311,2025-03-06,East,Refund Request
T00312,2025-03-20,South,Refund Request
T00313,2026-01-13,North,Delivery Delay
T00314,2025-12-12,South,Delivery Delay
T00315,2026-03-11,East,Refund Request
T00316,2026-01-13,North,Delivery Delay
T00317,2025-08-21,East,Out of Stock
T00318,2025-01-04,North,Delivery Delay
T00319,2025-08-28,South,Payment Problem
T00320,2026-04-06,North,Product Issue
T00321,2026-03-27,West,Out of Stock
T00322,2026-04-22,North,Payment Problem
T00323,2026-06-26,East,Product Issue
T00324,2025-08-09,West,Out of Stock
T00325,2025-03-04,North,Delivery Delay
T00326,2025-06-18,North,Out of Stock
T00327,2026-01-15,South,Delivery Delay
T00328,2025-11-28,West,Delivery Delay
T00329,2025-08-16,South,Refund Request
T00330,2025-04-18,South,Payment Problem
T00331,2026-06-18,North,Product Issue
T00332,2025-02-25,North,Payment Problem
T00333,2025-05-01,West,Product Issue
T00334,2025-04-22,East,Delivery Delay
T00335,2025-01-23,North,Product Issue
T00336,2025-09-21,West,Payment Problem
T00337,2025-08-19,North,Out of Stock
T00338,2025-04-30,South,Out of Stock
T00339,2026-02-11,South,Product Issue
T00340,2025-06-01,South,Refund Request
T00341,2025-09-03,South,Payment Problem
T00342,2025-06-11,West,Delivery Delay
T00343,2025-07-04,North,Out of Stock
T00344,2026-06-13,West,Product Issue
T00345,2025-09-02,South,Product Issue
T00346,2025-02-19,West,Payment Problem
T00347,2025-11-02,North,Delivery Delay
T00348,2025-04-08,South,Refund Request
T00349,2026-02-10,East,Delivery Delay
T00350,2025-09-12,West,Out of Stock
T00351,2026-05-02,North,Product Issue
T00352,2026-05-31,West,Out of Stock
T00353,2026-05-19,West,Product Issue
T00354,2025-03-14,West,Refund Request
T00355,2025-07-14,South,Product Issue
T00356,2025-03-30,West,Product Issue
T00357,2025-05-19,East,Payment Problem
T00358,2026-02-01,North,Out of Stock
T00359,2026-01-22,West,Product Issue
T00360,2026-02-26,West,Payment Problem
T00361,2025-12-10,West,Product Issue
T00362,2026-01-09,North,Payment Problem
T00363,2026-06-03,East,Out of Stock
T00364,2025-12-12,South,Refund Request
T00365,2025-04-01,West,Delivery Delay
T00366,2026-06-24,East,Out of Stock
T00367,2025-11-03,West,Product Issue
T00368,2025-08-02,South,Out of Stock
T00369,2025-09-19,West,Product Issue
T00370,2025-06-08,West,Payment Problem
T00371,2026-06-27,North,Out of Stock
T00372,2026-05-21,South,Payment Problem
T00373,2025-04-06,East,Payment Problem
T00374,2025-05-25,South,Refund Request
T00375,2026-06-18,North,Delivery Delay
T00376,2025-10-12,East,Refund Request
T00377,2026-05-17,South,Product Issue
T00378,2025-02-21,South,Payment Problem
T00379,2025-08-04,South,Delivery Delay
T00380,2026-06-06,North,Product Issue
T00381,2026-01-18,South,Delivery Delay
T00382,2025-03-10,North,Out of Stock
T00383,2025-07-30,West,Delivery Delay
T00384,2025-04-17,North,Refund Request
T00385,2025-04-29,South,Refund Request
T00386,2026-03-30,East,Payment Problem
T00387,2026-01-29,North,Out of Stock
T00388,2026-01-29,South,Delivery Delay
T00389,2025-07-17,West,Delivery Delay
T00390,2025-10-27,West,Out of Stock
T00391,2025-04-04,West,Delivery Delay
T00392,2026-06-09,East,Product Issue
T00393,2025-09-14,North,Payment Problem
T00394,2025-08-25,South,Refund Request
T00395,2025-06-20,South,Delivery Delay
T00396,2025-03-08,East,Out of Stock
T00397,2026-03-24,East,Delivery Delay
T00398,2026-04-10,South,Out of Stock
T00399,2026-02-06,South,Out of Stock
T00400,2025-07-28,North,Delivery Delay
T00401,2026-05-30,West,Product Issue
T00402,2026-06-18,East,Product Issue
T00403,2025-07-25,East,Delivery Delay
T00404,2026-02-16,North,Refund Request
T00405,2026-01-23,East,Payment Problem
T00406,2025-09-28,North,Refund Request
T00407,2026-03-06,East,Product Issue
T00408,2025-12-11,North,Refund Request
T00409,2026-01-27,East,Out of Stock
T00410,2025-12-04,North,Payment Problem
T00411,2025-03-08,East,Product Issue
T00412,2025-03-26,South,Payment Problem
T00413,2026-06-08,West,Product Issue
T00414,2026-06-23,East,Product Issue
T00415,2026-04-24,West,Product Issue
T00416,2026-05-18,West,Out of Stock
T00417,2026-06-22,North,Refund Request
T00418,2026-04-20,West,Delivery Delay
T00419,2025-01-18,North,Out of Stock
T00420,2025-05-10,South,Payment Problem
T00421,2025-11-06,East,Product Issue
T00422,2026-02-21,East,Payment Problem
T00423,2026-03-08,South,Delivery Delay
T00424,2025-02-05,East,Delivery Delay
T00425,2026-05-29,North,Refund Request
T00426,2026-01-15,West,Payment Problem
T00427,2025-09-24,North,Product Issue
T00428,2026-04-30,East,Payment Problem
T00429,2026-03-19,South,Payment Problem
T00430,2025-12-24,South,Refund Request
T00431,2025-07-29,East,Product Issue
T00432,2025-01-13,North,Delivery Delay
T00433,2025-07-06,East,Payment Problem
T00434,2025-03-16,North,Delivery Delay
T00435,2025-05-29,East,Refund Request
T00436,2025-08-29,West,Payment Problem
T00437,2025-05-05,North,Out of Stock
T00438,2025-07-26,North,Product Issue
T00439,2026-05-27,North,Delivery Delay
T00440,2025-07-20,North,Refund Request
T00441,2025-03-04,South,Out of Stock
T00442,2025-12-27,East,Payment Problem
T00443,2026-01-06,North,Refund Request
T00444,2025-11-04,South,Product Issue
T00445,2025-02-26,South,Delivery Delay
T00446,2025-11-29,East,Product Issue
T00447,2025-01-16,North,Delivery Delay
T00448,2025-05-30,West,Product Issue
T00449,2025-08-01,East,Delivery Delay
T00450,2026-06-23,South,Product Issue
T00451,2025-12-03,East,Payment Problem
T00452,2025-04-03,South,Out of Stock
T00453,2025-04-25,North,Product Issue
T00454,2025-04-23,West,Out of Stock
T00455,2025-10-09,North,Refund Request
T00456,2025-02-14,West,Refund Request
T00457,2025-07-16,West,Payment Problem
T00458,2026-03-25,East,Payment Problem
T00459,2025-07-14,East,Payment Problem
T00460,2026-01-24,East,Payment Problem
T00461,2026-05-11,North,Delivery Delay
T00462,2026-06-18,North,Payment Problem
T00463,2025-11-27,South,Product Issue
T00464,2025-09-18,East,Product Issue
T00465,2026-03-18,East,Product Issue
T00466,2025-05-26,East,Refund Request
T00467,2025-02-14,North,Payment Problem
T00468,2026-04-24,South,Refund Request
T00469,2026-04-30,East,Out of Stock
T00470,2026-05-31,West,Out of Stock
T00471,2026-05-01,East,Product Issue
T00472,2026-04-11,South,Out of Stock
T00473,2025-07-28,East,Delivery Delay
T00474,2026-02-24,North,Delivery Delay
T00475,2025-02-13,East,Refund Request
T00476,2025-05-30,South,Product Issue
T00477,2025-12-02,East,Out of Stock
T00478,2025-11-24,South,Refund Request
T00479,2026-04-06,North,Payment Problem
T00480,2026-04-02,South,Payment Problem
T00481,2026-06-17,South,Product Issue
T00482,2025-09-18,North,Product Issue
T00483,2025-05-30,East,Product Issue
T00484,2025-01-12,South,Payment Problem
T00485,2026-03-21,South,Out of Stock
T00486,2025-08-26,East,Out of Stock
T00487,2025-03-15,South,Product Issue
T00488,2025-10-23,South,Out of Stock
T00489,2026-01-30,East,Product Issue
T00490,2026-02-25,South,Product Issue
T00491,2026-03-14,East,Delivery Delay
T00492,2026-04-30,North,Out of Stock
T00493,2026-05-21,East,Product Issue
T00494,2026-03-25,North,Product Issue
T00495,2025-03-15,North,Refund Request
T00496,2026-06-13,North,Out of Stock
T00497,2026-04-02,East,Refund Request
T00498,2025-11-18,South,Out of Stock
T00499,2025-11-23,East,Payment Problem
T00500,2026-02-19,East,Payment Problem
T00501,2026-03-16,North,Product Issue
T00502,2026-03-08,West,Out of Stock
T00503,2025-03-15,South,Delivery Delay
T00504,2026-06-27,West,Delivery Delay
T00505,2025-08-17,North,Payment Problem
T00506,2026-04-01,West,Out of Stock
T00507,2025-06-23,East,Payment Problem
T00508,2026-05-28,West,Product Issue
T00509,2025-04-27,East,Payment Problem
T00510,2025-08-21,North,Out of Stock
T00511,2025-07-09,North,Refund Request
T00512,2025-10-18,West,Refund Request
T00513,2026-01-30,South,Payment Problem
T00514,2025-07-10,North,Payment Problem
T00515,2025-10-25,West,Refund Request
T00516,2025-04-01,North,Payment Problem
T00517,2026-01-20,North,Refund Request
T00518,2026-06-02,East,Refund Request
T00519,2025-07-16,South,Payment Problem
T00520,2025-03-20,East,Product Issue
T00521,2025-03-13,East,Payment Problem
T00522,2025-05-13,East,Product Issue
T00523,2025-12-23,West,Refund Request
T00524,2025-03-21,West,Delivery Delay
T00525,2026-01-27,West,Out of Stock
T00526,2025-10-15,North,Delivery Delay
T00527,2025-08-14,North,Delivery Delay
T00528,2025-10-05,East,Payment Problem
T00529,2026-06-29,South,Product Issue
T00530,2025-11-03,South,Payment Problem
T00531,2026-06-21,West,Out of Stock
T00532,2025-03-28,South,Delivery Delay
T00533,2026-01-27,North,Delivery Delay
T00534,2025-01-15,North,Refund Request
T00535,2025-07-05,East,Delivery Delay
T00536,2026-05-15,South,Payment Problem
T00537,2026-02-08,North,Out of Stock
T00538,2025-08-07,West,Out of Stock
T00539,2025-08-04,East,Payment Problem
T00540,2026-01-08,North,Payment Problem
T00541,2026-04-11,West,Product Issue
T00542,2025-03-22,East,Refund Request
T00543,2025-08-22,South,Payment Problem
T00544,2026-01-11,North,Payment Problem
T00545,2025-08-26,South,Out of Stock
T00546,2026-06-01,South,Product Issue
T00547,2025-08-24,East,Delivery Delay
T00548,2026-05-15,North,Refund Request
T00549,2026-05-01,North,Product Issue
T00550,2025-05-19,West,Product Issue
T00551,2025-08-14,South,Refund Request
T00552,2025-08-12,West,Delivery Delay
T00553,2026-06-04,North,Delivery Delay
T00554,2026-02-25,West,Payment Problem
T00555,2025-09-06,East,Refund Request
T00556,2025-09-03,East,Payment Problem
T00557,2025-08-06,East,Product Issue
T00558,2025-12-01,East,Delivery Delay
T00559,2026-05-07,West,Out of Stock
T00560,2026-04-14,West,Product Issue
T00561,2026-01-22,East,Out of Stock
T00562,2025-07-12,East,Refund Request
T00563,2025-03-11,South,Out of Stock
T00564,2026-03-09,East,Delivery Delay
T00565,2025-11-15,South,Delivery Delay
T00566,2025-12-15,West,Refund Request
T00567,2026-05-19,East,Delivery Delay
T00568,2026-03-20,South,Payment Problem
T00569,2025-01-18,East,Out of Stock
T00570,2025-12-31,West,Payment Problem
T00571,2026-03-19,South,Delivery Delay
T00572,2026-06-20,West,Delivery Delay
T00573,2026-01-10,West,Out of Stock
T00574,2026-01-28,North,Out of Stock
T00575,2025-10-16,South,Refund Request
T00576,2025-11-13,North,Payment Problem
T00577,2026-02-05,West,Product Issue
T00578,2026-01-03,East,Refund Request
T00579,2025-12-31,North,Delivery Delay
T00580,2025-05-02,North,Product Issue
T00581,2025-11-15,East,Product Issue
T00582,2026-06-26,North,Delivery Delay
T00583,2025-12-19,East,Product Issue
T00584,2026-02-22,South,Product Issue
T00585,2025-07-24,North,Delivery Delay
T00586,2025-10-06,North,Product Issue
T00587,2025-09-15,North,Out of Stock
T00588,2025-03-19,East,Delivery Delay
T00589,2026-05-28,North,Delivery Delay
T00590,2025-06-17,South,Refund Request
T00591,2026-01-27,East,Delivery Delay
T00592,2025-10-17,North,Product Issue
T00593,2025-08-17,West,Refund Request
T00594,2025-12-18,North,Product Issue
T00595,2025-09-23,South,Product Issue
T00596,2026-05-14,North,Product Issue
T00597,2025-07-30,East,Refund Request
T00598,2026-01-23,North,Refund Request
T00599,2026-06-08,South,Delivery Delay
T00600,2026-02-13,North,Payment Problem
T00601,2025-11-25,East,Product Issue
T00602,2026-02-21,East,Delivery Delay
T00603,2025-01-05,East,Out of Stock
T00604,2026-06-20,North,Out of Stock
T00605,2025-08-15,South,Out of Stock
T00606,2026-01-25,North,Product Issue
T00607,2025-01-12,North,Payment Problem
T00608,2025-05-09,East,Product Issue
T00609,2025-09-29,North,Delivery Delay
T00610,2025-04-02,North,Payment Problem
T00611,2025-10-08,South,Payment Problem
T00612,2026-02-11,South,Out of Stock
T00613,2025-02-25,West,Payment Problem
T00614,2026-05-17,South,Delivery Delay
T00615,2025-09-02,West,Product Issue
T00616,2025-08-19,South,Product Issue
T00617,2026-01-12,South,Product Issue
T00618,2025-12-05,South,Product Issue
T00619,2025-08-15,North,Payment Problem
T00620,2026-04-24,East,Payment Problem
T00621,2025-07-14,North,Out of Stock
T00622,2026-05-10,East,Delivery Delay
T00623,2025-03-03,North,Product Issue
T00624,2025-03-06,South,Product Issue
T00625,2025-03-09,South,Out of Stock
T00626,2025-01-19,North,Payment Problem
T00627,2025-04-01,North,Payment Problem
T00628,2025-08-26,South,Payment Problem
T00629,2026-01-16,North,Payment Problem
T00630,2025-01-06,South,Out of Stock
T00631,2025-12-23,North,Delivery Delay
T00632,2025-08-13,East,Payment Problem
T00633,2025-09-14,South,Delivery Delay
T00634,2026-03-07,South,Delivery Delay
T00635,2026-02-11,West,Delivery Delay
T00636,2025-09-09,North,Payment Problem
T00637,2025-06-27,North,Out of Stock
T00638,2025-07-18,North,Delivery Delay
T00639,2026-02-13,South,Refund Request
T00640,2025-11-17,West,Product Issue
T00641,2025-11-17,North,Refund Request
T00642,2025-12-22,West,Delivery Delay
T00643,2026-06-04,South,Delivery Delay
T00644,2025-12-15,North,Delivery Delay
T00645,2025-07-09,West,Refund Request
T00646,2026-05-06,West,Product Issue
T00647,2025-06-21,South,Delivery Delay
T00648,2025-10-26,South,Payment Problem
T00649,2026-03-28,North,Refund Request
T00650,2025-01-13,South,Payment Problem
T00651,2025-04-10,West,Refund Request
T00652,2025-10-05,South,Product Issue
T00653,2026-01-13,North,Refund Request
T00654,2026-05-14,North,Payment Problem
T00655,2025-03-21,South,Delivery Delay
T00656,2025-02-27,West,Refund Request
T00657,2025-11-11,South,Out of Stock
T00658,2025-11-27,West,Product Issue
T00659,2026-05-17,North,Refund Request
T00660,2025-06-15,North,Out of Stock
T00661,2026-02-14,East,Refund Request
T00662,2025-04-16,West,Product Issue
T00663,2025-06-15,South,Out of Stock
T00664,2025-05-08,South,Out of Stock
T00665,2025-08-09,South,Product Issue
T00666,2026-06-21,East,Payment Problem
T00667,2026-06-10,North,Delivery Delay
T00668,2026-06-18,East,Refund Request
T00669,2026-01-26,West,Product Issue
T00670,2026-02-19,East,Out of Stock
T00671,2025-09-06,East,Refund Request
T00672,2025-10-13,South,Refund Request
T00673,2025-07-29,East,Product Issue
T00674,2025-05-22,West,Out of Stock
T00675,2025-11-28,South,Product Issue
T00676,2025-12-28,East,Payment Problem
T00677,2025-12-26,East,Out of Stock
T00678,2025-03-18,East,Refund Request
T00679,2025-08-06,East,Out of Stock
T00680,2025-10-01,West,Delivery Delay
T00681,2025-02-02,West,Out of Stock
T00682,2026-03-01,East,Payment Problem
T00683,2025-12-20,East,Payment Problem
T00684,2026-03-11,West,Out of Stock
T00685,2025-10-15,North,Product Issue
T00686,2026-02-12,East,Refund Request
T00687,2025-12-02,South,Delivery Delay
T00688,2026-03-14,East,Out of Stock
T00689,2026-04-22,South,Refund Request
T00690,2025-08-22,West,Payment Problem
T00691,2026-06-02,West,Out of Stock
T00692,2026-01-14,North,Refund Request
T00693,2025-05-03,West,Product Issue
T00694,2025-07-07,South,Payment Problem
T00695,2026-02-15,South,Refund Request
T00696,2025-11-14,North,Product Issue
T00697,2025-08-15,South,Out of Stock
T00698,2026-06-20,East,Product Issue
T00699,2025-04-04,West,Refund Request
T00700,2025-10-12,South,Product Issue
T00701,2025-04-13,North,Out of Stock
T00702,2025-10-01,East,Payment Problem
T00703,2025-01-17,West,Refund Request
T00704,2025-10-05,East,Out of Stock
