month,product_id,stock_quantity
2025-09-01,P017,146
2025-09-01,P018,135
2025-09-01,P019,358
2025-09-01,P020,314
2025-10-01,P001,120
2025-10-01,P002,66
2025-10-01,P003,238
2025-10-01,P004,59
2025-10-01,P005,215
2025-10-01,P006,428
2025-10-01,P007,88
2025-10-01,P008,415
2025-10-01,P009,394
2025-10-01,P010,268
2025-10-01,P011,143
2025-10-01,P012,207
2025-10-01,P013,412
2025-10-01,P014,83
2025-10-01,P015,338
2025-10-01,P016,465
2025-10-01,P017,61
2025-10-01,P018,282
2025-10-01,P019,136
2025-10-01,P020,142
2025-11-01,P001,156
2025-11-01,P002,242
2025-11-01,P003,59
2025-11-01,P004,174
2025-11-01,P005,324
2025-11-01,P006,328
2025-11-01,P007,177
2025-11-01,P008,390
2025-11-01,P009,234
2025-11-01,P010,412
2025-11-01,P011,404
2025-11-01,P012,108
2025-11-01,P013,231
2025-11-01,P014,123
2025-11-01,P015,51
2025-11-01,P016,292
2025-11-01,P017,277
2025-11-01,P018,97
2025-11-01,P019,55
2025-11-01,P020,92
2025-12-01,P001,194
2025-12-01,P002,176
2025-12-01,P003,384
2025-12-01,P004,295
2025-12-01,P005,469
2025-12-01,P006,457
2025-12-01,P007,170
2025-12-01,P008,281
2025-12-01,P009,425
2025-12-01,P010,238
2025-12-01,P011,334
2025-12-01,P012,291
2025-12-01,P013,127
2025-12-01,P014,107
2025-12-01,P015,499
2025-12-01,P016,230
2025-12-01,P017,119
2025-12-01,P018,314
2025-12-01,P019,253
2025-12-01,P020,219
2026-01-01,P001,344
2026-01-01,P002,427
2026-01-01,P003,296
2026-01-01,P004,473
2026-01-01,P005,108
2026-01-01,P006,349
2026-01-01,P007,370
2026-01-01,P008,60
2026-01-01,P009,396
2026-01-01,P010,389
2026-01-01,P011,54
2026-01-01,P012,254
2026-01-01,P013,419
2026-01-01,P014,294
2026-01-01,P015,298
2026-01-01,P016,482
2026-01-01,P017,484
2026-01-01,P018,469
2026-01-01,P019,154
2026-01-01,P020,291
2026-02-01,P001,321
2026-02-01,P002,56
2026-02-01,P003,273
2026-02-01,P004,266
2026-02-01,P005,93
2026-02-01,P006,75
2026-02-01,P007,341
2026-02-01,P008,230
2026-02-01,P009,141
2026-02-01,P010,477
2026-02-01,P011,317
2026-02-01,P012,395
2026-02-01,P013,117
2026-02-01,P014,413
2026-02-01,P015,200
2026-02-01,P016,153
2026-02-01,P017,137
2026-02-01,P018,144
2026-02-01,P019,431
2026-02-01,P020,335
2026-03-01,P001,7
2026-03-01,P002,38
2026-03-01,P003,32
2026-03-01,P004,226
2026-03-01,P005,477
2026-03-01,P006,474
2026-03-01,P007,353
2026-03-01,P008,248
2026-03-01,P009,57
2026-03-01,P010,440
2026-03-01,P011,294
2026-03-01,P012,342
2026-03-01,P013,488
2026-03-01,P014,376
2026-03-01,P015,227
2026-03-01,P016,131
2026-03-01,P017,161
2026-03-01,P018,408
2026-03-01,P019,70
2026-03-01,P020,83
2026-04-01,P001,31
2026-04-01,P002,38
2026-04-01,P003,45
2026-04-01,P004,445
2026-04-01,P005,356
2026-04-01,P006,240
2026-04-01,P007,473
2026-04-01,P008,199
2026-04-01,P009,441
2026-04-01,P010,205
2026-04-01,P011,483
2026-04-01,P012,96
2026-04-01,P013,361
2026-04-01,P014,465
2026-04-01,P015,188
2026-04-01,P016,454
2026-04-01,P017,459
2026-04-01,P018,191
2026-04-01,P019,384
2026-04-01,P020,63
2026-05-01,P001,7
2026-05-01,P002,11
2026-05-01,P003,5
2026-05-01,P004,280
2026-05-01,P005,330
2026-05-01,P006,80
2026-05-01,P007,135
2026-05-01,P008,187
2026-05-01,P009,126
2026-05-01,P010,186
2026-05-01,P011,171
2026-05-01,P012,313
2026-05-01,P013,146
2026-05-01,P014,68
2026-05-01,P015,335
2026-05-01,P016,58
2026-05-01,P017,132
2026-05-01,P018,96
2026-05-01,P019,479
2026-05-01,P020,139
2026-06-01,P001,7
2026-06-01,P002,29
2026-06-01,P003,5
2026-06-01,P004,428
2026-06-01,P005,195
2026-06-01,P006,210
2026-06-01,P007,442
2026-06-01,P008,184
2026-06-01,P009,335
2026-06-01,P010,126
2026-06-01,P011,130
2026-06-01,P012,318
2026-06-01,P013,318
2026-06-01,P014,91
2026-06-01,P015,173
2026-06-01,P016,279
2026-06-01,P017,406
2026-06-01,P018,251
2026-06-01,P019,383
2026-06-01,P020,496
